草药名	contains序号	all序号
赤芍	192	TCMBANKHE004707
委陵菜	193	TCMBANKHE006055
珍珠母	194	TCMBANKHE006966
珍珠	195	TCMBANKHE002800
明党参	196	TCMBANKHE005182
石见穿	197	TCMBANKHE002083
买麻藤	198	TCMBANKHE001720
南天竹	199	NA
牛胆	200	TCMBANKHE005512
天南星	201	TCMBANKHE005841
商陆	202	TCMBANKHE005507
穿山龙	203	TCMBANKHE001777
苎麻根	204	TCMBANKHE008356
甜瓜子	205	TCMBANKHE001333
松香	206	TCMBANKHE004519
母丁香	207	TCMBANKHE000107
青黛	208	TCMBANKHE005470
儿茶	209	TCMBANKHE007551
黄药子	210	TCMBANKHE006165
冬瓜子	211	TCMBANKHE002642
川木通	212	TCMBANKHE001571
橄榄核	213	TCMBANKHE002221
韭菜子	214	TCMBANKHE005518
银耳	215	TCMBANKHE002479
饴糖	216	TCMBANKHE000207
赤石脂	217	TCMBANKHE003157
五灵脂	218	TCMBANKHE005880
鹧鸪菜	219	TCMBANKHE006303
女贞	220	NA
铅丹	221	TCMBANKHE006631
肉豆蔻	222	TCMBANKHE007004
槐角	223	TCMBANKHE009158
积雪草	224	TCMBANKHE003720
密蒙花	225	TCMBANKHE007867
白屈菜	226	TCMBANKHE006371
益智仁	227	TCMBANKHE004813
红大戟	228	TCMBANKHE001409
海胆	229	NA
百部	230	TCMBANKHE004121
红粉	231	TCMBANKHE001377
土荆芥	232	TCMBANKHE004924
杜仲叶	233	TCMBANKHE007889
砒石	234	NA
六月雪	235	NA
山茱萸	236	TCMBANKHE009162
九香虫	237	TCMBANKHE000772
一点红	238	TCMBANKHE005993
百草霜	239	NA
木蝴蝶	240	TCMBANKHE008359
芦根	241	TCMBANKHE006261
沙参	242	TCMBANKHE002428
枳实	243	TCMBANKHE007122
刀豆	244	TCMBANKHE007767
人工牛黄	245	TCMBANKHE000874
鹿衔草	246	TCMBANKHE005043
当归	247	TCMBANKHE009188
大麦	248	NA
丝瓜	249	TCMBANKHE006143
闹羊花	250	TCMBANKHE007954
杜鹃	251	NA
大黄	252	TCMBANKHE006313
肿节风	253	TCMBANKHE000516
葶苈子	254	TCMBANKHE005724
山芝麻	255	TCMBANKHE007815
阿胶	256	TCMBANKHE000517
钟乳石	257	TCMBANKHE001682
焦槟榔	258	TCMBANKHE002321
藏青果	259	NA
芍药	260	NA
丁公藤	261	TCMBANKHE006944
车前草	262	TCMBANKHE003063
南沙参	263	TCMBANKHE000757
半边莲	264	TCMBANKHE007056
金荞麦	265	TCMBANKHE007939
牛膝	266	TCMBANKHE004287
车前子	267	TCMBANKHE005363
毛茛	268	NA
巴戟天	269	TCMBANKHE004123
灵猫香	270	TCMBANKHE007341
木瓜	271	TCMBANKHE005628
天麻	272	TCMBANKHE008184
紫檀	273	TCMBANKHE005292
小蓟	274	TCMBANKHE008212
血竭	275	TCMBANKHE007446
冬瓜皮	276	TCMBANKHE007721
梅花	277	TCMBANKHE000946
熟地黄	278	TCMBANKHE008532
松节	279	TCMBANKHE006163
番石榴	280	NA
天门冬	281	TCMBANKHE003953
桔梗	282	TCMBANKHE003967
萝卜	283	NA
龙眼	284	TCMBANKHE001886
蜘蛛	285	NA
虎杖	286	TCMBANKHE005418
穿心莲	287	TCMBANKHE007748
白果叶	288	TCMBANKHE006020
樟脑	289	TCMBANKHE001510
谷精草	290	TCMBANKHE007396
金樱子	291	TCMBANKHE004112
断血流	292	TCMBANKHE001875
猴枣	293	TCMBANKHE002619
浮海石	294	TCMBANKHE006817
没药	295	TCMBANKHE009030
射干	296	TCMBANKHE005497
北沙参	297	NA
槐花	298	TCMBANKHE004613
全蝎	299	TCMBANKHE003817
枫香脂	300	TCMBANKHE008288
八月札	301	NA
山楂	302	TCMBANKHE009037
爵床	303	TCMBANKHE006731
马鞭草	304	TCMBANKHE004801
灶心土	305	TCMBANKHE008779
玄明粉	306	TCMBANKHE001527
鳖甲胶	307	NA
桑椹	308	TCMBANKHE009190
山茶花	309	NA
地肤子	310	TCMBANKHE004539
鳖甲	311	TCMBANKHE001643
龙齿	312	TCMBANKHE000500
莲须	313	TCMBANKHE002237
木贼	314	TCMBANKHE006102
杜仲	315	TCMBANKHE008310
石菖蒲	316	TCMBANKHE006497
鹿角	317	TCMBANKHE001736
海风藤	318	TCMBANKHE006932
瓜蒂	319	TCMBANKHE006580
大青叶	320	TCMBANKHE006049
西瓜	321	TCMBANKHE004546
板蓝根	322	TCMBANKHE005203
卷柏	323	TCMBANKHE007795
忍冬藤	324	TCMBANKHE005867
法半夏	325	TCMBANKHE002175
荜茇	326	TCMBANKHE008361
瓜蒌	327	TCMBANKHE006421
苦杏仁	328	TCMBANKHE002688
甜瓜	329	NA
滑石	330	TCMBANKHE008418
臭牡丹	331	TCMBANKHE008445
大枣	332	TCMBANKHE008830
满山红	333	TCMBANKHE003952
扁豆衣	334	NA
栀子	335	TCMBANKHE005522
石榴皮	336	TCMBANKHE005030
川木香	337	TCMBANKHE005842
千金子	338	TCMBANKHE005729
糯稻根	339	TCMBANKHE004485
野马追	340	NA
藿香	341	TCMBANKHE007361
远志	342	TCMBANKHE003831
亚麻	343	TCMBANKHE009176
蜂房	344	TCMBANKHE002981
代赭石	345	TCMBANKHE000912
紫草	346	TCMBANKHE003750
南板蓝根	347	NA
朱砂莲	348	TCMBANKHE004363
猫爪草	349	TCMBANKHE001880
荔枝核	350	TCMBANKHE008018
刘寄奴	351	TCMBANKHE006622
刺五加	352	TCMBANKHE009061
白前	353	TCMBANKHE008835
咖啡	354	NA
土木香	355	TCMBANKHE004275
葫芦	356	TCMBANKHE006044
夏枯草	357	TCMBANKHE007022
槟榔	358	TCMBANKHE007924
急性子	359	TCMBANKHE004755
威灵仙	360	TCMBANKHE005958
狗宝	361	NA
连翘	362	TCMBANKHE003799
藏菖蒲	363	NA
伸筋草	364	TCMBANKHE005773
苦楝皮	365	TCMBANKHE005027
小叶莲	366	TCMBANKHE000117
水牛角	367	TCMBANKHE008228
乌梅	368	TCMBANKHE005882
丁香	369	TCMBANKHE004912
硫黄	370	NA
九节菖蒲	371	NA
凌霄花	372	TCMBANKHE007844
茜草	373	TCMBANKHE004803
白芍	374	TCMBANKHE008662
天花粉	375	TCMBANKHE008343
女贞子	376	TCMBANKHE004023
白芥	377	TCMBANKHE003544
淡豆豉	378	TCMBANKHE006013
墨旱莲	379	TCMBANKHE008081
葡萄	380	TCMBANKHE004011
白芷	381	TCMBANKHE006591
牛蒡子	382	NA
天仙子	383	TCMBANKHE001367
红丹	384	NA
升丹	385	NA
款冬花	386	TCMBANKHE006919
火炭母	387	NA
罗汉果	388	TCMBANKHE006453
青风藤	389	TCMBANKHE007462
木芙蓉	390	NA
菠菜	391	TCMBANKHE005037
雪莲花	392	NA
八角茴香	393	TCMBANKHE005553
石上柏	394	TCMBANKHE005731
斑蝥	395	TCMBANKHE006188
紫菀	396	TCMBANKHE008224
三棱	397	TCMBANKHE007615
牡丹皮	398	TCMBANKHE006566
川乌	399	TCMBANKHE007566
石斛	400	TCMBANKHE004187
麻药	401	NA
菝葜	402	TCMBANKHE007606
香橼	403	TCMBANKHE007669
柏子仁	404	TCMBANKHE008658
绵马贯众	405	TCMBANKHE008869
石吊兰	406	TCMBANKHE006265
盐肤木	407	TCMBANKHE001743
紫珠	408	TCMBANKHE001799
白英	409	NA
路路通	410	TCMBANKHE006169
马兜铃	411	TCMBANKHE004385
蚕砂	412	NA
西红花	413	TCMBANKHE002173
泽兰	414	TCMBANKHE007950
芜荑	415	TCMBANKHE000577
黑芝麻	416	TCMBANKHE006021
牵牛子	417	TCMBANKHE008910
草乌	418	TCMBANKHE003681
琥珀	419	NA
金银花	420	TCMBANKHE003723
龙眼肉	421	TCMBANKHE006191
胡椒	422	TCMBANKHE006499
人参	423	TCMBANKHE004260
金钱白花蛇	424	NA
野菊花	425	TCMBANKHE005269
僵蚕	426	TCMBANKHE005541
天仙藤	427	TCMBANKHE006083
浮萍	428	TCMBANKHE004791
蛤蚧	429	TCMBANKHE001101
白花蛇舌草	430	TCMBANKHE004946
荔枝草	431	TCMBANKHE003999
莲子心	432	TCMBANKHE004086
升麻	433	TCMBANKHE007945
龙胆	434	TCMBANKHE003730
乌头	435	TCMBANKHE006883
赤小豆	436	TCMBANKHE002044
凤凰衣	437	NA
桑螵蛸	438	TCMBANKHE001994
补骨脂	439	TCMBANKHE006236
柿蒂	440	TCMBANKHE004298
续断	441	TCMBANKHE006587
黄芪	442	TCMBANKHE003743
黄芩	443	TCMBANKHE004192
穿山甲	444	TCMBANKHE008908
红木香	445	NA
小麦	446	TCMBANKHE007685
金钱草	447	TCMBANKHE007604
轻粉	448	TCMBANKHE001766
乌梢蛇	449	TCMBANKHE003238
夜交藤	450	TCMBANKHE006281
鹿茸	451	TCMBANKHE004843
阳起石	452	TCMBANKHE001258
夜明砂	453	TCMBANKHE008392
花椒	454	TCMBANKHE007829
莱菔子	455	TCMBANKHE004497
橘叶	456	TCMBANKHE003648
鹤虱	457	TCMBANKHE005757
合欢花	458	TCMBANKHE000459
香茅	459	TCMBANKHE004586
丹参	460	TCMBANKHE003752
朱砂七	461	NA
鸡冠花	462	TCMBANKHE004879
